"detail.rd.reduceCar";"detail.rd.compCar"
-0.04;0.064
0;0
-1.8375;0
0;0
0;0
-0.2205;0.07956
-2.97;0
-1.41;0.5768
-0.6125;0.2484
-0.588;0.20208
0;0
-0.1485;0
0;0
0;0
0;0
-0.047;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.195;0.312
-2.592;0.192
-0.088;0
0;0
-0.686;0
-0.405;0.12
0;0
0;0
0;0
0;0
-0.735;0.3452
-0.0495;0.072
-1.323;0
-0.94;0
0;0
-0.055;0.1768
-0.18;0
0;0
-0.94;0.0442
-2.35;0
0;0
0;0
0;0
0;0
0;0
-0.432;0.096
-0.33;0.48
0;0
0;0
0;0
0;0
-0.294;0.096
0;0
-0.06;0
0;0
0;0
0;0
0;0
-0.15;0
-0.28;0.448
0;0
0;0
-0.2695;0
0;0
-0.54;0.16
-0.245;0.08
-0.588;0.192
-2.1375;0
-1.128;0.34608
-0.855;0
0;0
-0.98;0.32
0;0
0;0
-0.9405;0.264
-0.08;0.14144
-0.705;0.2484
-0.484;0.704
-0.752;0.128
0;0
-0.423;0.144
-0.196;0
0;0
0;0
-0.705;0.2652
0;0.1684
0;0
-0.432;0.19872
-2.43;0.3978
-0.1175;0.04
-0.06;0.10608
0;0
0;0
-3.675;0.12
0;0
-0.235;0
-0.066;0.21216
-0.147;0.07704
0;0
0;0
-3.933;1.104
-0.066;0
0;0
0;0
0;0
0;0.4484
-0.1225;0.04
-0.441;0.15156
0;0
-0.882;0.288
-0.3675;0.2652
0;0
0;0
-1.7625;0
-0.225;0.36
0;0
0;0
-0.705;0.16
0;0
0;0
-0.3675;0.17808
0;0
-0.98;0.3368
-0.098;0
0;0
0;0
0;0
-1.764;0.46224
0;0
0;0
0;0
0;0
-0.126;0.056
0;0
0;0
0;0
-0.432;0.192
0;0
-0.02;0
0;0
-1.175;0
-0.0735;0
0;0
-0.045;0
0;0
0;0
0;0
-0.147;0.024
0;0
0;0
0;0
0;0
-0.396;0.176
-1.0575;0.3726
-0.423;0.12
0;0
0;0
-0.03;0.048
0;0
0;0
0;0
-0.855;0.1326
0;0
-0.658;0
-0.09;0.04
-0.094;0.032
0;0
0;0
0;0
-0.564;0.192
-0.06;0.096
0;0
0;0
0;0
-0.12;0.20208
0;0
0;0
-0.441;0
0;0
0;0
-0.9;0.2652
-0.81;0.2526
0;0
-0.637;0
0;0
0;0
0;0
0;0
-0.1645;0.05684
