"","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","b_dt_diet_flexitarian","b_dt_diet_omnivore","b_dt_diet_vegan"
"asc_lng.flghts",0.242483082625012,3.17466869431771,1.22162671927143,0.214988297984851,-0.381612291133993,1.63741410966182,0.0231886845772852,0.00615810908833905,0.0343067240588999,0.00992048888891549,0.00130466107293321,0.437715099197713,4.42060640442743,0.0811010821281003,0.00232015154983285,0.000195398212466768,13.0322200177633,24.0710548422392,7.25179512493353,11.2772018958815,-161.562606419076,15.8631255325162,2.28702922873835,1.54725812512467,2.29174573826737,0.996253442429896,4.00036090800695,6.11294327288981,31.6760665784974,16.0572713926726,3.05399548414961,2.98855597608332,12.1424425409749,1.219343844207e-17
"asc_dt",1.04596096497467,15.3908517008565,2.58489307113283,0.618711936129789,0.0385798709231177,-69.0328394088466,0.143693631901152,0.0377397277067736,0.20677876431041,0.0375540453472138,0.0078738111667928,2.37126508362106,19.1947740389304,0.380012022633861,0.0109709397771106,0.00123022067007901,64.1644675769317,96.4983499814414,16.2619906380621,30.8155262859852,15.8631255325162,-643.999602534284,13.9204180864832,9.53910662867927,14.0579858530221,5.14189386414102,21.2169978730466,29.6642600785837,125.106261992815,77.9897194522826,16.9047042251781,-125.459922303969,-487.660322751178,2.28623819166055e-17
"asc_inslt.rf",0.253458776975838,2.46354396180947,0.309862638695709,0.0585814945451327,0.00494432665856615,0.93280160249566,-2.17162261759889,0.0360308752490184,0.228364716964915,0.0246696763274333,0.00784367373144082,1.98117051170109,2.60027844154337,0.0242888512566542,0.00101552219232887,0.0001641522284518,14.4171013258531,21.5668791376792,2.84295060971672,4.95658125802384,2.28702922873835,13.9204180864832,-218.819748374186,13.6662960818242,20.2675206800856,4.76258378472644,19.1902796801075,28.7699119956434,35.9126528761608,15.4203333465149,2.32427531804759,2.25701459108491,11.0997415838676,-4.00960509105259e-18
"asc_inslt.fcd",0.16776773445975,1.75151096201024,0.245083805610845,0.0406320720265484,0.00337172651899789,0.66249530274789,0.116573272611671,-0.563127148330628,0.173237655411498,0.0180117802332892,0.00521144017060367,1.37190741454905,1.84445641215926,0.016403249259541,0.000693220902183581,0.000105771958122452,10.0793599538249,14.593673151457,2.02791409637658,3.47313042440892,1.54725812512467,9.53910662867927,13.6662960818242,-154.357512678225,13.7154054377632,3.26889759165561,13.3546704842098,19.517174756987,24.5758137949337,10.6592207947618,1.56364812897969,1.57485885095195,7.59480659364594,2.63730836972017e-17
"asc_rplc.wndws",0.245333953917961,2.47494954490265,0.334760404322344,0.0596420303198846,0.00490055416297837,0.958762685581249,0.167614944639835,0.041910549993964,-3.15032369808813,0.0278197868045401,0.00758035917733303,2.02905696556551,2.69610920819047,0.0237841799994825,0.00106361628243902,0.000161162860345481,14.5726560439778,21.7400752462929,2.91301131357044,5.0004201671329,2.29174573826737,14.0579858530221,20.2675206800856,13.7154054377632,-220.096763480405,4.8083725440509,19.1926118929466,28.3564951815352,36.2713818216709,15.7393261974977,2.32493719664639,2.29538271509419,11.1684667331591,-4.75679687562656e-17
"asc_vntltn",0.0960448999794037,1.05761217362094,0.130436723674647,0.025152720641612,0.00210462112931903,0.432984116707998,0.0461834456925767,0.0113261987102755,0.0663883217455012,-0.51563612934838,0.00233899831418396,0.830354239998196,1.18122186361361,0.0139610909624745,0.000425087470253594,6.54826449537196e-05,5.6185471547695,8.06846911855304,1.08135453264386,1.90706698384188,0.996253442429896,5.14189386414102,4.76258378472644,3.26889759165561,4.8083725440509,-80.0722595441279,6.21073351516119,10.1904476089365,13.846677091247,5.91432756593896,0.900107125580703,0.891634997422648,4.03285172287491,-7.40263222441533e-17
"asc_ht.pmp",0.283968058673104,3.00277976984966,0.487943128254379,0.0756943830169055,0.00651925346581086,1.18070978460631,0.22111788337641,0.0619271436647303,0.327936162242112,0.0248379378235728,-0.104194688637228,3.13482260296792,3.19795449180226,0.0155064684467432,0.00082964068862805,0.000149275148546468,22.430117429826,32.7921929707401,4.34836481673601,7.90355599851774,4.00036090800695,21.2169978730466,19.1902796801075,13.3546704842098,19.1926118929466,6.21073351516119,-277.309016304433,35.4190678976708,44.342274508576,20.8577469115673,1.92911671613028,2.91338021255196,17.657724083306,-3.49337158241609e-17
"asc_slr.pnls",0.440687421979771,5.61302046814977,0.736541268031997,0.131503802544661,0.0119243574631321,2.1896026154277,0.222092125451503,0.0530351439642085,0.360445138608827,0.0629807444358589,0.0125195720190591,-32.9210766931111,5.79200924691502,0.0648057119709421,0.00283534485978798,0.000443982503238306,31.2161224641734,43.7084631587611,6.60194886697521,11.0614559222598,6.11294327288981,29.6642600785837,28.7699119956434,19.517174756987,28.3564951815352,10.1904476089365,35.4190678976708,-406.673388659736,77.9403901229499,32.5726798533725,5.82294033281109,4.76671893814368,24.0055842100361,1.40951359270898e-16
"asc_rdc.tmp",1.88251962995338,26.3148466689607,4.46713051902113,1.00013247635901,0.0799438064216169,12.8146309790455,0.386932534687896,0.102866313585902,0.55422158653794,0.0852084346891804,0.0180903456933949,6.27661112904302,-157.138508324846,0.654837502524828,0.0214517728903317,0.00242881369137988,112.356903484233,178.883061980593,30.6555377628496,54.5858128596211,31.6760665784974,125.106261992815,35.9126528761608,24.5758137949337,36.2713818216709,13.846677091247,44.342274508576,77.9403901229499,-1137.42038185899,143.745522743036,30.8711563490307,24.7994777022304,93.7963466093137,7.38605750948341e-17
"asc_crtfct",1.15947591276655,18.2405886842052,3.11899405406894,0.705347860439099,0.0449989555106673,9.80229507258285,0.167712850280896,0.0422385777350861,0.231959884886928,0.0446788568676462,0.00778928837451264,2.75033153679695,23.2012300561097,-3.07766014786908,0.0158197500573431,0.00151144510548879,65.9819552485313,105.619151122803,18.0264589744498,32.0420499378345,16.0572713926726,77.9897194522826,15.4203333465149,10.6592207947618,15.7393261974977,5.91432756593896,20.8577469115673,32.5726798533725,143.745522743036,-710.223497434033,21.6989690467693,16.781782904994,56.4132807922028,1.20592557970678e-17
"asc_co2.offset",0.162463085840114,3.94091142736372,0.604322117333274,0.085957301387951,0.0027824728094638,1.82773420705243,0.0122447340383958,0.0018801829525637,0.0188625671244087,0.0032375845521462,5.42174267613061e-07,0.346958502382632,4.78361069500115,0.0353482904957831,-0.108831398644376,0.000719220524012711,15.9258851242702,21.3937548380142,3.86854762365592,6.59092911129228,3.05399548414961,16.9047042251781,2.32427531804759,1.56364812897969,2.32493719664639,0.900107125580703,1.92911671613028,5.82294033281109,30.8711563490307,21.6989690467693,-160.575989263504,3.43862246110998,12.7600833219844,-1.26844626944497e-16
"b_dt_diet_flexitarian",0.184949477334112,3.2052410487608,0.582250408839228,0.141733382290836,0.00829591208605691,-6.21405116528169,0.0241086079272491,0.0054470213782374,0.0338257233558027,0.00732049206965326,0.0011286924832726,0.41701583907312,4.48842999335327,0.10037373290918,0.0022520551601962,0.000239947331768522,10.6999279420183,18.2500478598022,3.21525649293962,6.64191610084505,2.98855597608332,-125.459922303969,2.25701459108491,1.57485885095195,2.29538271509419,0.891634997422648,2.91338021255196,4.76671893814368,24.7994777022304,16.781782904994,3.43862246110998,-125.459921454968,8.67060293787653e-14,3.72929709004627e-18
"b_dt_diet_omnivore",0.831901089113827,11.2979619378323,1.89655320586662,0.44131167270694,0.0274027748517089,-60.6895338726414,0.114251511747225,0.030366688939439,0.166870681775027,0.0286295248226386,0.00642623573699979,1.86828072767511,13.3415998923834,0.240172566207435,0.00798708465966411,0.000951333691015382,51.979130957302,73.9715914601516,12.4801753772785,23.0776407239273,12.1424425409749,-487.660322751178,11.0997415838676,7.59480659364594,11.1684667331591,4.03285172287491,17.657724083306,24.0055842100361,93.7963466093137,56.4132807922028,12.7600833219844,8.67060293787653e-14,-487.660322760345,6.78004202982808e-17
"b_dt_diet_vegan",1.24327971035995e-17,-4.019174740605e-17,5.3726864228709e-17,8.36568090510728e-18,1.5681253444204e-19,4.20965658564354e-17,6.23569230489147e-18,-1.54353489085918e-18,-1.44261228767357e-17,3.08884810268731e-18,2.4130131191814e-20,-1.16994162253189e-18,-1.75817128408463e-16,1.2263720587114e-18,1.24415554925658e-19,-1.12148775480235e-21,-1.06889560890617e-16,-5.2654249825912e-17,2.49843156636351e-17,2.48347550404974e-18,1.219343844207e-17,2.28623819166055e-17,-4.00960509105259e-18,2.63730836972017e-17,-4.75679687562656e-17,-7.40263222441533e-17,-3.49337158241609e-17,1.40951359270898e-16,7.38605750948341e-17,1.20592557970678e-17,-1.26844626944497e-16,3.72929709004627e-18,6.78004202982808e-17,0
